n  ,algo   ,time                  ,comparisons
26 ,hybrid ,0.02574920654296875   ,         99
27 ,insert ,0.087738037109375     ,        351
27 ,merge  ,0.03314018249511719   ,         98
27 ,hybrid ,0.028133392333984375  ,        103
28 ,insert ,0.1049041748046875    ,        378
28 ,merge  ,0.03409385681152344   ,         96
28 ,hybrid ,0.028848648071289062  ,        103
29 ,insert ,0.09608268737792969   ,        406
29 ,merge  ,0.03504753112792969   ,        110
29 ,hybrid ,0.030994415283203125  ,        119
30 ,insert ,0.11277198791503906   ,        435
30 ,merge  ,0.03504753112792969   ,        108
30 ,hybrid ,0.030994415283203125  ,        118
31 ,insert ,0.11086463928222656   ,        465
31 ,merge  ,0.03695487976074219   ,        117
31 ,hybrid ,0.030994415283203125  ,        127
32 ,insert ,0.12183189392089844   ,        496
32 ,merge  ,0.03933906555175781   ,        122
32 ,hybrid ,0.031948089599609375  ,        133
33 ,insert ,0.13303756713867188   ,        528
33 ,merge  ,0.0400543212890625    ,        121
33 ,hybrid ,0.034809112548828125  ,        131
34 ,insert ,0.11730194091796875   ,        561
34 ,merge  ,0.041961669921875     ,        133
34 ,hybrid ,0.035762786865234375  ,        142
35 ,insert ,0.14281272888183594   ,        595
35 ,merge  ,0.04315376281738281   ,        133
35 ,hybrid ,0.03814697265625      ,        140
36 ,insert ,0.1399517059326172    ,        630
36 ,merge  ,0.04410743713378906   ,        139
36 ,hybrid ,0.03910064697265625   ,        147
37 ,insert ,0.15497207641601562   ,        666
37 ,merge  ,0.04673004150390625   ,        150
37 ,hybrid ,0.041961669921875     ,        156
38 ,insert ,0.17404556274414062   ,        703
38 ,merge  ,0.049114227294921875  ,        160
38 ,hybrid ,0.04291534423828125   ,        163
39 ,insert ,0.19478797912597656   ,        741
39 ,merge  ,0.05030632019042969   ,        153
39 ,hybrid ,0.04458427429199219   ,        155
40 ,insert ,0.19693374633789062   ,        780
40 ,merge  ,0.05316734313964844   ,        162
40 ,hybrid ,0.0457763671875       ,        163
41 ,insert ,0.20122528076171875   ,        820
41 ,merge  ,0.052928924560546875  ,        167
41 ,hybrid ,0.0457763671875       ,        170
42 ,insert ,0.2071857452392578    ,        861
42 ,merge  ,0.053882598876953125  ,        172
42 ,hybrid ,0.04792213439941406   ,        176
43 ,insert ,0.20194053649902344   ,        903
43 ,merge  ,0.05602836608886719   ,        186
43 ,hybrid ,0.050067901611328125  ,        190
44 ,insert ,0.21886825561523438   ,        946
44 ,merge  ,0.05817413330078125   ,        188
44 ,hybrid ,0.050067901611328125  ,        194
45 ,insert ,0.244140625           ,        990
45 ,merge  ,0.0591278076171875    ,        194
45 ,hybrid ,0.051975250244140625  ,        200
46 ,insert ,0.2319812774658203    ,       1035
46 ,merge  ,0.06008148193359375   ,        194
46 ,hybrid ,0.051021575927734375  ,        199
47 ,insert ,0.2548694610595703    ,       1081
47 ,merge  ,0.06198883056640625   ,        204
47 ,hybrid ,0.05340576171875      ,        211
48 ,insert ,0.2601146697998047    ,       1128
48 ,merge  ,0.06389617919921875   ,        208
48 ,hybrid ,0.054836273193359375  ,        212
49 ,insert ,0.2727508544921875    ,       1176
49 ,merge  ,0.06604194641113281   ,        219
49 ,hybrid ,0.057220458984375     ,        226
 2 ,insert ,0.0                   ,          1
 2 ,merge  ,0.0021457672119140625 ,          1
 2 ,hybrid ,0.0                   ,          1
 3 ,insert ,0.0021457672119140625 ,          3
 3 ,merge  ,0.0019073486328125    ,          3
 3 ,hybrid ,0.00095367431640625   ,          3
 4 ,insert ,0.0030994415283203125 ,          6
 4 ,merge  ,0.0030994415283203125 ,          5
 4 ,hybrid ,0.0019073486328125    ,          6
 5 ,insert ,0.0040531158447265625 ,         10
 5 ,merge  ,0.003814697265625     ,          8
 5 ,hybrid ,0.0040531158447265625 ,          8
 6 ,insert ,0.003814697265625     ,         15
 6 ,merge  ,0.005245208740234375  ,         10
 6 ,hybrid ,0.0030994415283203125 ,         11
 7 ,insert ,0.0059604644775390625 ,         21
 7 ,merge  ,0.0059604644775390625 ,         14
 7 ,hybrid ,0.005245208740234375  ,         15
 8 ,insert ,0.008106231689453125  ,         28
 8 ,merge  ,0.006198883056640625  ,         13
 8 ,hybrid ,0.0050067901611328125 ,         17
 9 ,insert ,0.007867813110351562  ,         36
 9 ,merge  ,0.009059906005859375  ,         19
 9 ,hybrid ,0.006198883056640625  ,         21
10 ,insert ,0.012159347534179688  ,         45
10 ,merge  ,0.010013580322265625  ,         25
10 ,hybrid ,0.008106231689453125  ,         25
