Size of Array, Insertion Sort Time (ms), Merge Sort Time (ms), Hybrid Sort Time (ms)
655, 50.77, 3.01, 100.00
656, 53.63, 2.92, 100.00
657, 50.54, 3.05, 100.00
658, 52.34, 2.98, 100.00
659, 51.48, 3.06, 100.00
660, 63.79, 2.96, 100.00
661, 52.35, 2.99, 100.00
662, 54.38, 3.02, 100.00
663, 52.46, 2.96, 100.00
664, 52.96, 3.14, 100.00
665, 53.70, 3.05, 100.00
666, 54.03, 3.01, 100.00
667, 53.34, 3.15, 100.00
668, 53.04, 3.10, 100.00
669, 56.41, 3.09, 100.00
670, 56.21, 3.06, 100.00
671, 57.18, 3.10, 100.00
672, 53.43, 3.05, 100.00
673, 52.38, 3.04, 100.00
674, 55.14, 3.04, 100.00
675, 55.12, 3.05, 100.00
676, 53.65, 3.12, 100.00
677, 54.72, 3.57, 100.00
678, 54.62, 3.15, 100.00
679, 54.26, 3.08, 100.00
680, 62.35, 4.99, 100.00
681, 65.89, 3.20, 100.00
682, 71.89, 3.13, 100.00
683, 56.05, 3.09, 100.00
684, 55.56, 3.26, 100.00
685, 56.36, 4.88, 100.00
686, 60.44, 3.16, 100.00
687, 55.61, 3.18, 100.00
688, 55.86, 3.06, 100.00
689, 57.11, 3.24, 100.00
690, 56.72, 3.22, 100.00
691, 56.38, 3.20, 100.00
692, 56.98, 3.16, 100.00
693, 59.51, 3.53, 100.00
694, 57.27, 3.21, 100.00
695, 58.24, 3.28, 100.00
696, 59.08, 3.17, 100.00
697, 57.70, 3.26, 100.00
698, 57.96, 3.38, 100.00
699, 63.58, 3.31, 100.00
700, 59.46, 3.36, 100.00
701, 61.27, 3.24, 100.00
702, 59.17, 3.31, 100.00
703, 59.66, 3.31, 100.00
704, 60.98, 3.24, 100.00
705, 60.06, 3.28, 100.00
706, 59.35, 3.68, 100.00
707, 61.55, 3.94, 100.00
708, 59.92, 3.54, 100.00
709, 61.82, 3.42, 100.00
710, 59.96, 3.51, 100.00
711, 59.12, 3.21, 100.00
712, 63.01, 3.42, 100.00
713, 61.06, 3.35, 100.00
714, 61.27, 3.38, 100.00
715, 59.94, 3.55, 100.00
716, 61.19, 3.53, 100.00
717, 62.51, 3.45, 100.00
718, 62.41, 3.50, 100.00
719, 65.73, 3.46, 100.00
720, 61.76, 3.69, 100.00
721, 73.84, 3.74, 100.00
722, 67.41, 3.43, 100.00
723, 62.19, 3.47, 100.00
724, 62.17, 3.48, 100.00
725, 64.11, 4.09, 100.00
726, 65.32, 3.55, 100.00
727, 65.25, 4.70, 100.00
728, 67.41, 3.45, 100.00
729, 63.58, 3.55, 100.00
730, 64.60, 3.61, 100.00
731, 65.16, 3.57, 100.00
732, 65.05, 3.69, 100.00
733, 62.06, 3.64, 100.00
734, 65.06, 3.55, 100.00
735, 64.30, 3.55, 100.00
736, 65.44, 3.53, 100.00
737, 66.09, 3.55, 100.00
738, 66.18, 3.83, 100.00
739, 66.13, 3.45, 100.00
740, 65.46, 3.50, 100.00
741, 64.46, 3.53, 100.00
742, 75.10, 3.54, 100.00
743, 69.93, 3.50, 100.00
744, 66.44, 3.59, 100.00
745, 68.39, 3.57, 100.00
746, 69.71, 3.60, 100.00
747, 67.90, 3.61, 100.00
748, 68.38, 3.73, 100.00
749, 69.35, 3.53, 100.00
750, 68.39, 3.64, 100.00
751, 66.13, 3.63, 100.00
752, 68.24, 3.89, 100.00
753, 68.17, 3.62, 100.00
754, 69.92, 3.68, 100.00
755, 66.28, 3.56, 100.00
756, 69.27, 3.66, 100.00
757, 69.13, 3.63, 100.00
758, 70.66, 3.62, 100.00
759, 69.12, 3.67, 100.00
760, 68.84, 3.61, 100.00
