sizeOfArray,algo,time,comparisions
34867,hybrid,103.43384742736816,491283
35034,merge,113.33036422729492,484996
35034,hybrid,104.23016548156738,493650
35124,merge,112.35404014587402,486333
35124,hybrid,105.42798042297363,495001
35239,merge,112.3511791229248,488301
35239,hybrid,105.0710678100586,496690
35261,merge,112.0290756225586,488522
35261,hybrid,105.09490966796875,496986
35422,merge,116.15705490112305,491048
35422,hybrid,107.26499557495117,499318
35536,merge,114.72415924072266,492770
35536,hybrid,107.12218284606934,500846
35598,merge,117.63787269592285,493554
35598,hybrid,109.9100112915039,501621
35717,merge,116.98102951049805,495627
35717,hybrid,107.49101638793945,503613
35755,merge,114.55893516540527,496176
35755,hybrid,108.18982124328613,504081
35853,merge,115.46492576599121,497783
35853,hybrid,108.79826545715332,505604
36041,merge,116.70899391174316,500530
36041,hybrid,108.42227935791016,508199
36096,merge,115.48399925231934,501261
36096,hybrid,108.78992080688477,508844
36203,merge,116.09411239624023,503119
36203,hybrid,108.9780330657959,510669
36335,merge,116.07599258422852,505041
36335,hybrid,109.38382148742676,512478
36410,merge,119.67086791992188,506347
36410,hybrid,112.79106140136719,513698
36548,merge,117.97904968261719,508251
36548,hybrid,110.10217666625977,515460
36566,merge,117.44213104248047,508538
36566,hybrid,110.29887199401855,515745
36665,merge,119.22478675842285,510060
36665,hybrid,112.5338077545166,517072
36843,merge,118.74890327453613,512774
36843,hybrid,112.77985572814941,519616
36908,merge,119.64893341064453,513806
36908,hybrid,114.3949031829834,520623
36958,merge,118.76988410949707,514753
36958,hybrid,112.79296875,521436
37136,merge,123.34394454956055,517532
37136,hybrid,116.14799499511719,524177
37195,merge,121.38986587524414,518381
37195,hybrid,115.48900604248047,524890
37349,merge,122.50804901123047,520631
37349,hybrid,114.52698707580566,526982
37383,merge,121.4900016784668,521415
37383,hybrid,116.08695983886719,527710
37542,merge,121.99807167053223,523794
37542,hybrid,114.61305618286133,529906
37609,merge,122.53689765930176,524796
37609,hybrid,114.28308486938477,530896
37674,merge,122.12371826171875,525674
37674,hybrid,114.47930335998535,531610
37768,merge,122.4057674407959,527343
37768,hybrid,114.95685577392578,533201
37931,merge,125.13923645019531,529902
37931,hybrid,117.1271800994873,535624
38004,merge,123.60405921936035,530901
38004,hybrid,116.1191463470459,536566
38054,merge,123.46696853637695,531676
38054,hybrid,116.08123779296875,537312
38220,merge,123.66223335266113,534153
38220,hybrid,116.2409782409668,539558
38283,merge,123.59881401062012,535156
38283,hybrid,116.40810966491699,540640
38434,merge,125.83398818969727,537629
38434,hybrid,117.26593971252441,542878
38536,merge,128.06105613708496,539227
38536,hybrid,121.62899971008301,544359
38628,merge,125.62417984008789,540389
38628,hybrid,117.5379753112793,545522
