dimension,edges,isDirectional,minWeight,maxWeight,queue,graphInput,time
700,233880,False,0,22,heap,adjList,198.74978065490723
700,233880,False,0,22,heap,adjMatrix,272.2029685974121
700,233880,False,0,22,array,adjList,332.46421813964844
700,233880,False,0,22,array,adjMatrix,402.1780490875244
700,234514,False,0,23,heap,adjList,198.35782051086426
700,234514,False,0,23,heap,adjMatrix,276.29995346069336
700,234514,False,0,23,array,adjList,347.1181392669678
700,234514,False,0,23,array,adjMatrix,415.5242443084717
700,234815,False,0,24,heap,adjList,194.28682327270508
700,234815,False,0,24,heap,adjMatrix,266.82209968566895
700,234815,False,0,24,array,adjList,339.75696563720703
700,234815,False,0,24,array,adjMatrix,406.1088562011719
700,235392,False,0,25,heap,adjList,189.71705436706543
700,235392,False,0,25,heap,adjMatrix,262.9249095916748
700,235392,False,0,25,array,adjList,353.640079498291
700,235392,False,0,25,array,adjMatrix,427.0930290222168
700,235501,False,0,26,heap,adjList,195.62792778015137
700,235501,False,0,26,heap,adjMatrix,267.7149772644043
700,235501,False,0,26,array,adjList,351.0310649871826
700,235501,False,0,26,array,adjMatrix,419.2948341369629
700,235866,False,0,27,heap,adjList,189.43309783935547
700,235866,False,0,27,heap,adjMatrix,263.2179260253906
700,235866,False,0,27,array,adjList,340.24786949157715
700,235866,False,0,27,array,adjMatrix,410.02893447875977
700,236352,False,0,28,heap,adjList,196.55728340148926
700,236352,False,0,28,heap,adjMatrix,268.8760757446289
700,236352,False,0,28,array,adjList,369.63510513305664
700,236352,False,0,28,array,adjMatrix,439.2678737640381
700,236569,False,0,29,heap,adjList,194.9598789215088
700,236569,False,0,29,heap,adjMatrix,287.7368927001953
700,236569,False,0,29,array,adjList,362.3359203338623
700,236569,False,0,29,array,adjMatrix,431.34021759033203
700,236830,False,0,30,heap,adjList,189.70513343811035
700,236830,False,0,30,heap,adjMatrix,282.88912773132324
700,236830,False,0,30,array,adjList,365.0691509246826
700,236830,False,0,30,array,adjMatrix,433.0928325653076
700,236967,False,0,31,heap,adjList,200.12283325195312
700,236967,False,0,31,heap,adjMatrix,290.2388572692871
700,236967,False,0,31,array,adjList,370.6402778625488
700,236967,False,0,31,array,adjMatrix,449.4478702545166
700,237312,False,0,32,heap,adjList,189.9409294128418
700,237312,False,0,32,heap,adjMatrix,285.1560115814209
700,237312,False,0,32,array,adjList,369.5359230041504
700,237312,False,0,32,array,adjMatrix,433.9280128479004
700,237460,False,0,33,heap,adjList,197.60513305664062
700,237460,False,0,33,heap,adjMatrix,293.9000129699707
700,237460,False,0,33,array,adjList,384.6108913421631
700,237460,False,0,33,array,adjMatrix,451.98893547058105
700,237666,False,0,34,heap,adjList,198.56572151184082
700,237666,False,0,34,heap,adjMatrix,297.90782928466797
700,237666,False,0,34,array,adjList,379.345178604126
700,237666,False,0,34,array,adjMatrix,449.38087463378906
700,237692,False,0,35,heap,adjList,214.71095085144043
700,237692,False,0,35,heap,adjMatrix,275.1140594482422
700,237692,False,0,35,array,adjList,392.2119140625
700,237692,False,0,35,array,adjMatrix,461.777925491333
700,238032,False,0,36,heap,adjList,195.33896446228027
700,238032,False,0,36,heap,adjMatrix,287.02402114868164
700,238032,False,0,36,array,adjList,376.0488033294678
700,238032,False,0,36,array,adjMatrix,443.96114349365234
700,238280,False,0,37,heap,adjList,195.1141357421875
700,238280,False,0,37,heap,adjMatrix,287.6701354980469
700,238280,False,0,37,array,adjList,383.0561637878418
700,238280,False,0,37,array,adjMatrix,455.6000232696533
700,238415,False,0,38,heap,adjList,195.38593292236328
700,238415,False,0,38,heap,adjMatrix,273.85497093200684
700,238415,False,0,38,array,adjList,382.92884826660156
700,238415,False,0,38,array,adjMatrix,460.62278747558594
700,238470,False,0,39,heap,adjList,202.19898223876953
700,238470,False,0,39,heap,adjMatrix,276.10182762145996
700,238470,False,0,39,array,adjList,404.2389392852783
700,238470,False,0,39,array,adjMatrix,493.8690662384033
700,238708,False,0,40,heap,adjList,199.9959945678711
700,238708,False,0,40,heap,adjMatrix,275.0861644744873
700,238708,False,0,40,array,adjList,387.6674175262451
700,238708,False,0,40,array,adjMatrix,478.12390327453613
700,238799,False,0,41,heap,adjList,198.0910301208496
700,238799,False,0,41,heap,adjMatrix,270.31898498535156
700,238799,False,0,41,array,adjList,389.4672393798828
700,238799,False,0,41,array,adjMatrix,479.74419593811035
700,238955,False,0,42,heap,adjList,201.6751766204834
700,238955,False,0,42,heap,adjMatrix,274.2640972137451
700,238955,False,0,42,array,adjList,426.62596702575684
700,238955,False,0,42,array,adjMatrix,514.9469375610352
700,239168,False,0,43,heap,adjList,195.36900520324707
700,239168,False,0,43,heap,adjMatrix,268.078088760376
700,239168,False,0,43,array,adjList,434.34977531433105
700,239168,False,0,43,array,adjMatrix,482.4409484863281
700,239314,False,0,44,heap,adjList,195.60694694519043
700,239314,False,0,44,heap,adjMatrix,290.8041477203369
700,239314,False,0,44,array,adjList,415.47608375549316
700,239314,False,0,44,array,adjMatrix,483.89196395874023
700,239423,False,0,45,heap,adjList,201.12299919128418
700,239423,False,0,45,heap,adjMatrix,292.38009452819824
700,239423,False,0,45,array,adjList,416.14294052124023
700,239423,False,0,45,array,adjMatrix,486.6681098937988
700,239411,False,0,46,heap,adjList,195.7862377166748
700,239411,False,0,46,heap,adjMatrix,269.2561149597168
700,239411,False,0,46,array,adjList,447.5138187408447
700,239411,False,0,46,array,adjMatrix,494.98796463012695
700,239541,False,0,47,heap,adjList,201.57313346862793
700,239541,False,0,47,heap,adjMatrix,295.1200008392334
700,239541,False,0,47,array,adjList,410.1231098175049
700,239541,False,0,47,array,adjMatrix,480.78012466430664
700,239590,False,0,48,heap,adjList,200.1180648803711
700,239590,False,0,48,heap,adjMatrix,270.43819427490234
700,239590,False,0,48,array,adjList,443.9430236816406
700,239590,False,0,48,array,adjMatrix,499.4471073150635
700,239827,False,0,49,heap,adjList,201.03716850280762
700,239827,False,0,49,heap,adjMatrix,296.89717292785645
700,239827,False,0,49,array,adjList,436.0311031341553
700,239827,False,0,49,array,adjMatrix,509.7212791442871
700,239879,False,0,50,heap,adjList,197.21102714538574
700,239879,False,0,50,heap,adjMatrix,292.1426296234131
700,239879,False,0,50,array,adjList,427.3359775543213
700,239879,False,0,50,array,adjMatrix,499.6600151062012
700,0,False,0,0,heap,adjList,0.007867813110351562
700,0,False,0,0,heap,adjMatrix,0.041961669921875
700,0,False,0,0,array,adjList,0.0019073486328125
700,0,False,0,0,array,adjMatrix,0.04220008850097656
700,122414,False,0,1,heap,adjList,222.83005714416504
700,122414,False,0,1,heap,adjMatrix,278.3348560333252
700,122414,False,0,1,array,adjList,54.78501319885254
700,122414,False,0,1,array,adjMatrix,107.12695121765137
700,163291,False,0,2,heap,adjList,170.66192626953125
700,163291,False,0,2,heap,adjMatrix,231.20999336242676
700,163291,False,0,2,array,adjList,97.3367691040039
700,163291,False,0,2,array,adjMatrix,154.29973602294922
700,183676,False,0,3,heap,adjList,161.78369522094727
700,183676,False,0,3,heap,adjMatrix,222.09715843200684
700,183676,False,0,3,array,adjList,131.14285469055176
700,183676,False,0,3,array,adjMatrix,192.59405136108398
700,195830,False,0,4,heap,adjList,158.75577926635742
700,195830,False,0,4,heap,adjMatrix,220.59392929077148
700,195830,False,0,4,array,adjList,162.54711151123047
700,195830,False,0,4,array,adjMatrix,224.686861038208
700,204099,False,0,5,heap,adjList,175.36520957946777
700,204099,False,0,5,heap,adjMatrix,241.50872230529785
700,204099,False,0,5,array,adjList,184.95583534240723
700,204099,False,0,5,array,adjMatrix,249.11022186279297
700,209824,False,0,6,heap,adjList,193.71604919433594
700,209824,False,0,6,heap,adjMatrix,256.7868232727051
700,209824,False,0,6,array,adjList,205.91306686401367
700,209824,False,0,6,array,adjMatrix,272.7160453796387
700,214237,False,0,7,heap,adjList,204.3130397796631
700,214237,False,0,7,heap,adjMatrix,271.58308029174805
700,214237,False,0,7,array,adjList,218.03903579711914
700,214237,False,0,7,array,adjMatrix,285.39085388183594
700,217456,False,0,8,heap,adjList,202.91614532470703
700,217456,False,0,8,heap,adjMatrix,274.2481231689453
700,217456,False,0,8,array,adjList,237.105131149292
700,217456,False,0,8,array,adjMatrix,303.272008895874
700,220443,False,0,9,heap,adjList,201.31564140319824
700,220443,False,0,9,heap,adjMatrix,268.4009075164795
700,220443,False,0,9,array,adjList,235.9941005706787
700,220443,False,0,9,array,adjMatrix,302.2446632385254
700,222739,False,0,10,heap,adjList,214.705228805542
700,222739,False,0,10,heap,adjMatrix,285.8128547668457
700,222739,False,0,10,array,adjList,263.2479667663574
700,222739,False,0,10,array,adjMatrix,328.53007316589355
700,224060,False,0,11,heap,adjList,207.79800415039062
700,224060,False,0,11,heap,adjMatrix,281.31580352783203
700,224060,False,0,11,array,adjList,273.9551067352295
700,224060,False,0,11,array,adjMatrix,344.437837600708
700,225924,False,0,12,heap,adjList,207.9029083251953
700,225924,False,0,12,heap,adjMatrix,280.1661491394043
700,225924,False,0,12,array,adjList,291.48101806640625
700,225924,False,0,12,array,adjMatrix,359.03120040893555
700,227258,False,0,13,heap,adjList,208.4329128265381
700,227258,False,0,13,heap,adjMatrix,293.1342124938965
700,227258,False,0,13,array,adjList,294.06094551086426
700,227258,False,0,13,array,adjMatrix,358.8409423828125
700,228460,False,0,14,heap,adjList,204.118013381958
700,228460,False,0,14,heap,adjMatrix,292.9880619049072
700,228460,False,0,14,array,adjList,287.1842384338379
700,228460,False,0,14,array,adjMatrix,352.39696502685547
700,229525,False,0,15,heap,adjList,226.00865364074707
700,229525,False,0,15,heap,adjMatrix,278.6068916320801
700,229525,False,0,15,array,adjList,310.8987808227539
700,229525,False,0,15,array,adjMatrix,376.3761520385742
700,230279,False,0,16,heap,adjList,228.70492935180664
700,230279,False,0,16,heap,adjMatrix,277.1320343017578
700,230279,False,0,16,array,adjList,329.91886138916016
700,230279,False,0,16,array,adjMatrix,396.1777687072754
700,231064,False,0,17,heap,adjList,222.85819053649902
700,231064,False,0,17,heap,adjMatrix,276.08418464660645
700,231064,False,0,17,array,adjList,314.1140937805176
700,231064,False,0,17,array,adjMatrix,381.62899017333984
700,231786,False,0,18,heap,adjList,204.00500297546387
700,231786,False,0,18,heap,adjMatrix,274.6551036834717
700,231786,False,0,18,array,adjList,330.5678367614746
700,231786,False,0,18,array,adjMatrix,409.4536304473877
700,232260,False,0,19,heap,adjList,203.97496223449707
700,232260,False,0,19,heap,adjMatrix,272.8571891784668
700,232260,False,0,19,array,adjList,316.25819206237793
700,232260,False,0,19,array,adjMatrix,384.0677738189697
700,232908,False,0,20,heap,adjList,199.59497451782227
700,232908,False,0,20,heap,adjMatrix,270.9832191467285
700,232908,False,0,20,array,adjList,326.97200775146484
700,232908,False,0,20,array,adjMatrix,393.3119773864746
700,233731,False,0,21,heap,adjList,196.0580348968506
700,233731,False,0,21,heap,adjMatrix,270.3971862792969
700,233731,False,0,21,array,adjList,319.63276863098145
700,233731,False,0,21,array,adjMatrix,390.7608985900879
700,234038,False,0,22,heap,adjList,195.45817375183105
700,234038,False,0,22,heap,adjMatrix,266.0980224609375
700,234038,False,0,22,array,adjList,332.4017524719238
700,234038,False,0,22,array,adjMatrix,400.59781074523926
700,234541,False,0,23,heap,adjList,194.55409049987793
700,234541,False,0,23,heap,adjMatrix,267.42100715637207
700,234541,False,0,23,array,adjList,343.7538146972656
700,234541,False,0,23,array,adjMatrix,411.607027053833
700,234991,False,0,24,heap,adjList,197.5710391998291
700,234991,False,0,24,heap,adjMatrix,285.86292266845703
700,234991,False,0,24,array,adjList,346.3399410247803
700,234991,False,0,24,array,adjMatrix,413.9900207519531
700,235168,False,0,25,heap,adjList,195.44601440429688
700,235168,False,0,25,heap,adjMatrix,266.2310600280762
700,235168,False,0,25,array,adjList,345.02387046813965
700,235168,False,0,25,array,adjMatrix,412.9011631011963
